Serial_Number,Human_Readable_ID,QR_Link_URL,Ticket_Status
0001,8946BBE5,https://tantalize.lk/t/8946BBE5,NORMAL
0002,461F0F8D,https://tantalize.lk/t/461F0F8D,NORMAL
0003,9B0022E2,https://tantalize.lk/t/9B0022E2,NORMAL
0004,F2D43DD0,https://tantalize.lk/t/F2D43DD0,NORMAL
0005,DD67A2B6,https://tantalize.lk/t/DD67A2B6,NORMAL
0006,F74C9BD7,https://tantalize.lk/t/F74C9BD7,NORMAL
0007,3FCD7A0E,https://tantalize.lk/t/3FCD7A0E,NORMAL
0008,3E8A2049,https://tantalize.lk/t/3E8A2049,NORMAL
0009,6F634357,https://tantalize.lk/t/6F634357,NORMAL
0010,F3C2577A,https://tantalize.lk/t/F3C2577A,NORMAL
0011,98E7D8CF,https://tantalize.lk/t/98E7D8CF,NORMAL
0012,32316673,https://tantalize.lk/t/32316673,NORMAL
0013,F5128990,https://tantalize.lk/t/F5128990,NORMAL
0014,4334A9B3,https://tantalize.lk/t/4334A9B3,NORMAL
0015,4AB48565,https://tantalize.lk/t/4AB48565,NORMAL
0016,A204ABDE,https://tantalize.lk/t/A204ABDE,NORMAL
0017,634A89B0,https://tantalize.lk/t/634A89B0,NORMAL
0018,B995D202,https://tantalize.lk/t/B995D202,NORMAL
0019,F4294FCE,https://tantalize.lk/t/F4294FCE,NORMAL
0020,0AA1139B,https://tantalize.lk/t/0AA1139B,NORMAL
0021,00D06666,https://tantalize.lk/t/00D06666,NORMAL
0022,4DFAC7A1,https://tantalize.lk/t/4DFAC7A1,NORMAL
0023,7EFAA3B8,https://tantalize.lk/t/7EFAA3B8,NORMAL
0024,52CCC0A2,https://tantalize.lk/t/52CCC0A2,NORMAL
0025,0B12EA02,https://tantalize.lk/t/0B12EA02,NORMAL
0026,7C01C625,https://tantalize.lk/t/7C01C625,NORMAL
0027,AAF427CC,https://tantalize.lk/t/AAF427CC,NORMAL
0028,820E501F,https://tantalize.lk/t/820E501F,NORMAL
0029,E9F58BDC,https://tantalize.lk/t/E9F58BDC,NORMAL
0030,FADA2EFD,https://tantalize.lk/t/FADA2EFD,NORMAL
0031,96E11581,https://tantalize.lk/t/96E11581,NORMAL
0032,3242AF1F,https://tantalize.lk/t/3242AF1F,NORMAL
0033,1189B59B,https://tantalize.lk/t/1189B59B,NORMAL
0034,0595C39D,https://tantalize.lk/t/0595C39D,NORMAL
0035,2BF537A2,https://tantalize.lk/t/2BF537A2,NORMAL
0036,0426CE6C,https://tantalize.lk/t/0426CE6C,NORMAL
0037,31F99429,https://tantalize.lk/t/31F99429,NORMAL
0038,8FBADA30,https://tantalize.lk/t/8FBADA30,NORMAL
0039,EF38713D,https://tantalize.lk/t/EF38713D,NORMAL
0040,9CD18F6D,https://tantalize.lk/t/9CD18F6D,NORMAL
